state,city,region_id,region_name,school_count,program_count,avg_student_size,avg_in_state_tuition,avg_out_of_state_tuition,avg_cost_of_attendance,avg_net_price
CO,Golden,7,Rocky Mountains,1,34,5801.0,21186.0,44376.0,38556.0,29240.0
CO,Grand Junction,7,Rocky Mountains,2,82,6853.67,9712.0,24312.0,22883.0,15485.28
CO,Greeley,7,Rocky Mountains,3,87,4765.13,8578.55,21050.6,22661.3,15370.77
CO,Greenwood Village,7,Rocky Mountains,1,1,215.0,20590.0,20590.0,44255.0,42287.0
CO,Gunnison,7,Rocky Mountains,1,30,1653.0,11083.0,23683.0,25426.0,16773.0
CO,La Junta,7,Rocky Mountains,1,18,642.0,4418.0,7048.0,20413.0,11329.0
CO,Lakewood,7,Rocky Mountains,6,86,4552.56,22898.4,28226.4,34976.79,18519.33
CO,Lamar,7,Rocky Mountains,1,17,406.0,4422.0,7052.0,19366.0,10328.0
CO,Littleton,7,Rocky Mountains,3,45,5309.72,4308.0,16542.0,16348.0,10887.83
CO,Louisville,7,Rocky Mountains,1,1,,,,,
CO,Loveland,7,Rocky Mountains,1,1,40.0,,,,10481.0
CO,Parker,7,Rocky Mountains,2,4,68.0,,,,16707.0
CO,Pueblo,7,Rocky Mountains,2,69,3158.13,7182.34,17180.12,21612.43,12022.33
CO,Rangely,7,Rocky Mountains,1,16,500.0,4454.0,7084.0,21006.0,12316.0
CO,Sterling,7,Rocky Mountains,1,16,825.0,5582.0,8045.0,20246.0,13224.0
CO,Thornton,7,Rocky Mountains,1,1,104.0,,,,15322.0
CO,Trinidad,7,Rocky Mountains,1,31,1168.0,4468.0,7100.0,21373.0,11197.0
CO,USAF Academy,0,Unknown,1,36,4124.0,,,,
CO,Westminster,7,Rocky Mountains,2,39,10972.33,4740.0,16974.0,18087.0,10903.0
CT,Branford,1,New England,1,1,39.0,,,,5655.0
CT,Bridgeport,1,New England,5,71,1325.74,32740.78,32740.78,48475.72,24337.3
CT,Bristol,1,New England,1,6,152.0,,,,
CT,Cromwell,1,New England,2,10,205.0,9580.0,9580.0,20740.0,18225.35
CT,Danbury,1,New England,1,51,3434.0,12763.0,16095.0,24534.0,18617.0
CT,East Hartford,1,New England,1,28,2761.0,21198.0,21198.0,39745.0,28544.0
CT,East Windsor,1,New England,1,4,971.0,,,,26269.0
CT,Fairfield,1,New England,2,92,5934.98,52353.84,52353.84,69972.36,45860.71
CT,Groton,1,New England,1,126,464.0,17462.0,40130.0,21603.0,11504.0
CT,Guilford,1,New England,1,1,63.0,,,,19952.0
CT,Hamden,1,New England,2,82,5664.02,49501.76,49501.76,65623.96,37337.0
CT,Hartford,1,New England,5,138,1568.73,24404.07,43918.26,33108.77,16353.96
CT,Middletown,1,New England,1,39,2973.0,67316.0,67316.0,85172.0,27888.0
CT,New Britain,1,New England,4,132,18110.61,8468.2,18761.97,19666.04,13678.27
CT,New Haven,1,New England,3,131,5765.69,44857.94,49030.4,63232.34,26331.26
CT,New London,0,Unknown,1,9,1081.0,,,,
CT,New London,1,New England,2,46,1447.0,56224.67,56224.67,72842.33,32945.67
CT,Newtown,1,New England,1,1,96.0,,,,14904.0
